city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Mumbai,2010-04-24,,,20,A Kumble,,2010,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,RE Koertzen,SJA Taufel,,Dr DY Patil Sports Academy,,9,Royal Challengers Bangalore
Delhi,2010-03-29,,,20,DA Warner,,2010,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,SS Hazare,SJA Taufel,,Feroz Shah Kotla,40,,Delhi Daredevils
Mumbai,2008-05-16,,,20,SM Pollock,,2008,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,BR Doctrove,DJ Harper,,Wankhede Stadium,,8,Mumbai Indians
Pune,2016-04-22,,,20,AB de Villiers,,2016,Rising Pune Supergiants,Royal Challengers Bangalore,field,Rising Pune Supergiants,CB Gaffaney,VK Sharma,,Maharashtra Cricket Association Stadium,13,,Royal Challengers Bangalore
Mumbai,2010-04-22,,,20,DE Bollinger,,2010,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,,Dr DY Patil Sports Academy,38,,Chennai Super Kings
Chandigarh,2010-04-02,,,20,KP Pietersen,,2010,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,BF Bowden,M Erasmus,,"Punjab Cricket Association Stadium, Mohali",,6,Royal Challengers Bangalore
Bangalore,2008-05-19,,,20,SP Goswami,,2008,Royal Challengers Bangalore,Delhi Daredevils,field,Delhi Daredevils,SJ Davis,GA Pratapkumar,,M Chinnaswamy Stadium,,5,Delhi Daredevils
Kolkata,2016-05-04,,,20,AD Russell,,2016,Kolkata Knight Riders,Kings XI Punjab,field,Kings XI Punjab,AK Chaudhary,HDPK Dharmasena,,Eden Gardens,7,,Kolkata Knight Riders
Chennai,2011-05-01,,,20,JA Morkel,,2011,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,Aleem Dar,RB Tiffin,,"MA Chidambaram Stadium, Chepauk",19,,Chennai Super Kings
Mumbai,2011-05-20,,,20,SR Watson,,2011,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,RE Koertzen,PR Reiffel,,Wankhede Stadium,,10,Rajasthan Royals
Mumbai,2014-05-30,,,20,V Sehwag,,2014,Chennai Super Kings,Kings XI Punjab,field,Chennai Super Kings,HDPK Dharmasena,RJ Tucker,,Wankhede Stadium,24,,Kings XI Punjab
Chandigarh,2008-04-19,,,20,MEK Hussey,,2008,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,MR Benson,SL Shastri,,"Punjab Cricket Association Stadium, Mohali",33,,Chennai Super Kings
Hyderabad,2017-04-19,,,20,KS Williamson,,2017,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,CB Gaffaney,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",15,,Sunrisers Hyderabad
Kolkata,2017-05-13,,,20,AT Rayudu,,2017,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,A Nand Kishore,S Ravi,,Eden Gardens,9,,Mumbai Indians
Chennai,2015-04-09,,,20,A Nehra,,2015,Chennai Super Kings,Delhi Daredevils,field,Delhi Daredevils,RK Illingworth,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings
Jaipur,2011-04-29,,,20,J Botha,,2011,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,Asad Rauf,SK Tarapore,,Sawai Mansingh Stadium,,7,Rajasthan Royals
Dharamsala,2011-05-21,,,20,S Dhawan,,2011,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,Asad Rauf,AM Saheba,,Himachal Pradesh Cricket Association Stadium,82,,Deccan Chargers
Hyderabad,2014-05-18,,,20,UT Yadav,,2014,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,NJ Llong,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,7,Kolkata Knight Riders
Chandigarh,2012-04-12,,,20,AD Mascarenhas,,2012,Kings XI Punjab,Pune Warriors,field,Kings XI Punjab,VA Kulkarni,SK Tarapore,,"Punjab Cricket Association Stadium, Mohali",,7,Kings XI Punjab
Rajkot,2017-04-23,,,20,HM Amla,,2017,Gujarat Lions,Kings XI Punjab,field,Gujarat Lions,AK Chaudhary,M Erasmus,,Saurashtra Cricket Association Stadium,26,,Kings XI Punjab
Kanpur,2017-05-13,,,20,Mohammed Siraj,,2017,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AK Chaudhary,Nitin Menon,,Green Park,,8,Sunrisers Hyderabad
Delhi,2008-04-19,,,20,MF Maharoof,,2008,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,GA Pratapkumar,,Feroz Shah Kotla,,9,Delhi Daredevils
Johannesburg,2009-05-16,,,20,RG Sharma,,2009,Deccan Chargers,Kolkata Knight Riders,field,Deccan Chargers,RE Koertzen,S Ravi,,New Wanderers Stadium,,6,Deccan Chargers
